DRAW_ID;N1;N2;N3;N4;N5;RANK1;RANK2;RANK3;RANK4;RANK5;RANK6;RANK7;RANK8;RANK9;RANK10;RANK11;RANK12;NB_TICKETS
202;10;16;18;31;42;0;4;11;78;1358;2443;4034;59254;62207;107520;316475;908786;38185499
203;5;10;28;29;44;0;2;6;47;969;1850;2395;34389;43993;82263;174096;615881;25122489
204;10;18;23;24;40;0;8;7;64;1353;2353;3151;44949;62246;112813;228795;913638;37015467
205;6;10;23;44;49;0;5;9;53;933;1945;1913;27722;36965;74001;148964;528660;23374291
206;1;9;11;20;40;0;11;15;119;2063;3214;4257;54381;72807;121024;244256;909148;35040341
207;28;30;42;45;49;1;1;7;150;725;1286;1519;22841;29801;61341;125380;460648;24240522
208;10;15;19;23;41;0;8;13;87;1470;2900;3776;54434;69142;125085;270947;937229;37458898
209;11;16;21;24;29;1;21;25;174;2493;4453;6297;81487;95247;184127;390045;1285479;53029003
210;14;21;22;28;47;0;9;14;138;2257;4164;5794;78766;118488;206667;401261;1586935;63109153
211;7;20;25;35;41;0;2;14;71;1241;2504;3364;51791;57367;118602;282172;882549;42333921
212;3;6;10;11;44;0;11;15;103;2310;3982;4953;66457;101063;175674;326370;1353257;51921621
213;23;24;25;31;44;0;6;9;61;1022;2065;2698;37975;54010;98630;201595;808319;34653285
214;5;6;9;27;38;0;4;11;68;1774;3603;3710;51098;82297;166225;263075;1088765;45459764
215;1;28;35;38;50;0;4;5;47;873;1957;1864;26489;37567;84221;139719;539694;28125321
216;16;29;37;40;44;0;3;10;40;1293;2765;2447;34811;53070;116458;187038;759500;40996260
217;10;32;40;41;49;0;3;12;57;624;1267;1996;31724;30309;61853;189755;472929;25359538
218;6;7;17;35;43;0;6;5;86;1069;2446;3697;58894;55134;112238;319520;846416;38104030
219;2;8;10;23;25;0;10;17;54;1449;2378;2158;28964;52054;90972;138176;634113;23674415
220;9;16;18;19;21;0;6;13;94;1785;3016;3712;46124;79326;127466;219704;1045093;37099345
221;4;16;21;36;42;0;6;7;47;982;1526;1696;23972;37329;62549;130135;534504;22538364
222;20;23;26;30;33;1;18;31;106;2137;4120;5319;77815;92587;178308;410460;1386578;61472101
223;7;25;27;48;49;0;1;12;26;688;1425;1624;24281;32717;71652;129700;497746;23319351
224;4;19;34;41;43;0;5;7;45;961;2151;2079;31700;45612;97479;174141;692243;36011503
225;6;7;38;39;44;0;2;4;27;548;926;1633;28873;28064;48805;169274;482443;21382031
226;3;10;23;27;44;1;9;15;105;1779;3016;4103;56968;73503;125676;279367;974602;36190168
227;6;15;22;37;44;0;7;13;50;838;1588;1926;27790;34061;65288;147164;486463;21934286
228;13;15;30;35;42;1;7;6;74;1258;2356;3938;56790;57081;114684;294231;850151;38948962
229;11;17;18;39;44;0;4;4;33;688;1504;1578;24525;34758;72146;130785;539763;24605485
230;16;28;31;33;48;0;3;8;53;1079;2186;2235;33646;49596;106558;184154;740890;37444404
231;1;18;25;26;44;0;3;8;42;734;1341;1754;26010;34785;63418;140376;518210;22466382
232;5;6;12;19;37;1;6;11;184;2035;3418;7798;94104;82898;144013;437780;1054228;39466563
